subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
sub-003_cc200,L0,Raw,42,0.695752,0.000000
sub-003_cc200,L1,+LW,42,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,42,0.569882,-0.125870
sub-003_cc200,L3,+SB+Atten,42,0.697444,0.001692
sub-003_cc200,L4,+Prior,42,0.790659,0.094907
sub-003_cc200,L5,Full BS-NET,42,0.799437,0.103685
sub-003_cc200,L0,Raw,123,0.695752,0.000000
sub-003_cc200,L1,+LW,123,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,123,0.578758,-0.116994
sub-003_cc200,L3,+SB+Atten,123,0.691917,-0.003835
sub-003_cc200,L4,+Prior,123,0.798967,0.103215
sub-003_cc200,L5,Full BS-NET,123,0.795462,0.099710
sub-003_cc200,L0,Raw,777,0.695752,0.000000
sub-003_cc200,L1,+LW,777,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,777,0.577430,-0.118322
sub-003_cc200,L3,+SB+Atten,777,0.700999,0.005247
sub-003_cc200,L4,+Prior,777,0.791803,0.096051
sub-003_cc200,L5,Full BS-NET,777,0.797667,0.101915
sub-003_cc200,L0,Raw,2026,0.695752,0.000000
sub-003_cc200,L1,+LW,2026,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,2026,0.579434,-0.116318
sub-003_cc200,L3,+SB+Atten,2026,0.689473,-0.006280
sub-003_cc200,L4,+Prior,2026,0.794324,0.098571
sub-003_cc200,L5,Full BS-NET,2026,0.800826,0.105074
sub-003_cc200,L0,Raw,9999,0.695752,0.000000
sub-003_cc200,L1,+LW,9999,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,9999,0.572914,-0.122838
sub-003_cc200,L3,+SB+Atten,9999,0.697907,0.002155
sub-003_cc200,L4,+Prior,9999,0.792845,0.097093
sub-003_cc200,L5,Full BS-NET,9999,0.791075,0.095322
sub-003_cc200,L0,Raw,314,0.695752,0.000000
sub-003_cc200,L1,+LW,314,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,314,0.566797,-0.128955
sub-003_cc200,L3,+SB+Atten,314,0.687700,-0.008053
sub-003_cc200,L4,+Prior,314,0.800950,0.105198
sub-003_cc200,L5,Full BS-NET,314,0.795476,0.099724
sub-003_cc200,L0,Raw,1414,0.695752,0.000000
sub-003_cc200,L1,+LW,1414,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,1414,0.566019,-0.129734
sub-003_cc200,L3,+SB+Atten,1414,0.721577,0.025825
sub-003_cc200,L4,+Prior,1414,0.794495,0.098742
sub-003_cc200,L5,Full BS-NET,1414,0.792157,0.096405
sub-003_cc200,L0,Raw,628,0.695752,0.000000
sub-003_cc200,L1,+LW,628,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,628,0.565967,-0.129786
sub-003_cc200,L3,+SB+Atten,628,0.687739,-0.008013
sub-003_cc200,L4,+Prior,628,0.797399,0.101646
sub-003_cc200,L5,Full BS-NET,628,0.804169,0.108417
sub-003_cc200,L0,Raw,2718,0.695752,0.000000
sub-003_cc200,L1,+LW,2718,0.689751,-0.006001
