Seed,Subject,Model,Network,Jaccard Overlap
42,13,BS-NET (2m),Somatomotor,0.8235294117647058
42,13,BS-NET (2m),Dorsal Attn,0.4482758620689655
42,13,BS-NET (2m),Ventral Attn,0.5
42,13,BS-NET (2m),Limbic,0.5
42,13,BS-NET (2m),Control,0.9333333333333333
42,13,BS-NET (2m),Default Mode,0.8
42,14,Raw FC (2m),Visual,0.8
42,14,Raw FC (2m),Somatomotor,0.875
42,14,Raw FC (2m),Dorsal Attn,1.0
42,14,Raw FC (2m),Ventral Attn,0.8571428571428571
42,14,Raw FC (2m),Limbic,0.41935483870967744
42,14,Raw FC (2m),Control,0.8125
42,14,Raw FC (2m),Default Mode,0.5333333333333333
42,14,BS-NET (2m),Visual,0.8
42,14,BS-NET (2m),Somatomotor,0.875
42,14,BS-NET (2m),Dorsal Attn,1.0
42,14,BS-NET (2m),Ventral Attn,0.8571428571428571
42,14,BS-NET (2m),Limbic,0.41935483870967744
42,14,BS-NET (2m),Control,0.8125
42,14,BS-NET (2m),Default Mode,0.5333333333333333
42,15,Raw FC (2m),Visual,0.8235294117647058
42,15,Raw FC (2m),Somatomotor,1.0
42,15,Raw FC (2m),Dorsal Attn,0.5714285714285714
42,15,Raw FC (2m),Ventral Attn,0.8571428571428571
42,15,Raw FC (2m),Limbic,0.7777777777777778
42,15,Raw FC (2m),Control,0.8666666666666667
42,15,Raw FC (2m),Default Mode,0.9411764705882353
42,15,BS-NET (2m),Visual,0.8235294117647058
42,15,BS-NET (2m),Somatomotor,0.45161290322580644
42,15,BS-NET (2m),Dorsal Attn,0.5714285714285714
42,15,BS-NET (2m),Ventral Attn,0.8571428571428571
42,15,BS-NET (2m),Limbic,0.7777777777777778
42,15,BS-NET (2m),Control,0.8666666666666667
42,15,BS-NET (2m),Default Mode,0.5161290322580645
42,16,Raw FC (2m),Visual,0.9285714285714286
42,16,Raw FC (2m),Somatomotor,0.9285714285714286
42,16,Raw FC (2m),Dorsal Attn,0.9333333333333333
42,16,Raw FC (2m),Ventral Attn,1.0
42,16,Raw FC (2m),Limbic,1.0
42,16,Raw FC (2m),Control,0.9333333333333333
42,16,Raw FC (2m),Default Mode,1.0
42,16,BS-NET (2m),Visual,0.9285714285714286
42,16,BS-NET (2m),Somatomotor,0.9285714285714286
42,16,BS-NET (2m),Dorsal Attn,0.9333333333333333
42,16,BS-NET (2m),Ventral Attn,1.0
42,16,BS-NET (2m),Limbic,1.0
42,16,BS-NET (2m),Control,0.9333333333333333
42,16,BS-NET (2m),Default Mode,1.0
42,17,Raw FC (2m),Visual,0.5384615384615384
42,17,Raw FC (2m),Somatomotor,0.4666666666666667
42,17,Raw FC (2m),Dorsal Attn,1.0
42,17,Raw FC (2m),Ventral Attn,1.0
42,17,Raw FC (2m),Limbic,0.42857142857142855
42,17,Raw FC (2m),Control,0.875
42,17,Raw FC (2m),Default Mode,0.5333333333333333
42,17,BS-NET (2m),Visual,0.4482758620689655
42,17,BS-NET (2m),Somatomotor,0.42424242424242425
42,17,BS-NET (2m),Dorsal Attn,0.8571428571428571
42,17,BS-NET (2m),Ventral Attn,0.5
42,17,BS-NET (2m),Limbic,0.41379310344827586
42,17,BS-NET (2m),Control,0.5185185185185185
42,17,BS-NET (2m),Default Mode,0.48484848484848486
42,18,Raw FC (2m),Visual,0.25
42,18,Raw FC (2m),Somatomotor,0.9285714285714286
42,18,Raw FC (2m),Dorsal Attn,0.7333333333333333
42,18,Raw FC (2m),Ventral Attn,0.8235294117647058
42,18,Raw FC (2m),Limbic,0.6666666666666666
42,18,Raw FC (2m),Control,0.875
42,18,Raw FC (2m),Default Mode,0.7619047619047619
42,18,BS-NET (2m),Visual,0.25
42,18,BS-NET (2m),Somatomotor,0.9285714285714286
42,18,BS-NET (2m),Dorsal Attn,0.7333333333333333
42,18,BS-NET (2m),Ventral Attn,0.8235294117647058
42,18,BS-NET (2m),Limbic,0.6666666666666666
42,18,BS-NET (2m),Control,0.875
42,18,BS-NET (2m),Default Mode,0.7619047619047619
42,19,Raw FC (2m),Visual,1.0
42,19,Raw FC (2m),Somatomotor,1.0
42,19,Raw FC (2m),Dorsal Attn,1.0
42,19,Raw FC (2m),Ventral Attn,0.9285714285714286
42,19,Raw FC (2m),Limbic,1.0
42,19,Raw FC (2m),Control,1.0
42,19,Raw FC (2m),Default Mode,0.9411764705882353
42,19,BS-NET (2m),Visual,1.0
42,19,BS-NET (2m),Somatomotor,1.0
42,19,BS-NET (2m),Dorsal Attn,1.0
42,19,BS-NET (2m),Ventral Attn,0.9285714285714286
42,19,BS-NET (2m),Limbic,1.0
42,19,BS-NET (2m),Control,1.0
42,19,BS-NET (2m),Default Mode,0.9411764705882353
123,0,Raw FC (2m),Visual,0.7368421052631579
123,0,Raw FC (2m),Somatomotor,1.0
123,0,Raw FC (2m),Dorsal Attn,1.0
123,0,Raw FC (2m),Ventral Attn,0.7333333333333333
123,0,Raw FC (2m),Limbic,0.9333333333333333
123,0,Raw FC (2m),Control,0.9333333333333333
123,0,Raw FC (2m),Default Mode,0.6875
123,0,BS-NET (2m),Visual,0.7368421052631579
123,0,BS-NET (2m),Somatomotor,1.0
123,0,BS-NET (2m),Dorsal Attn,1.0
123,0,BS-NET (2m),Ventral Attn,0.7333333333333333
123,0,BS-NET (2m),Limbic,0.9333333333333333
123,0,BS-NET (2m),Control,0.9333333333333333
123,0,BS-NET (2m),Default Mode,0.6875
123,1,Raw FC (2m),Visual,0.7857142857142857
123,1,Raw FC (2m),Somatomotor,0.9333333333333333
123,1,Raw FC (2m),Dorsal Attn,0.5
123,1,Raw FC (2m),Ventral Attn,0.9333333333333333
123,1,Raw FC (2m),Limbic,0.9333333333333333
123,1,Raw FC (2m),Control,0.5
123,1,Raw FC (2m),Default Mode,1.0
123,1,BS-NET (2m),Visual,0.7857142857142857
123,1,BS-NET (2m),Somatomotor,0.9333333333333333
123,1,BS-NET (2m),Dorsal Attn,0.5
123,1,BS-NET (2m),Ventral Attn,0.9333333333333333
123,1,BS-NET (2m),Limbic,0.9333333333333333
123,1,BS-NET (2m),Control,0.5
123,1,BS-NET (2m),Default Mode,1.0
123,2,Raw FC (2m),Visual,1.0
123,2,Raw FC (2m),Somatomotor,0.4482758620689655
123,2,Raw FC (2m),Dorsal Attn,0.9333333333333333
123,2,Raw FC (2m),Ventral Attn,0.4482758620689655
123,2,Raw FC (2m),Limbic,0.4444444444444444
123,2,Raw FC (2m),Control,0.5
123,2,Raw FC (2m),Default Mode,0.7894736842105263
123,2,BS-NET (2m),Visual,1.0
123,2,BS-NET (2m),Somatomotor,0.4482758620689655
123,2,BS-NET (2m),Dorsal Attn,0.9333333333333333
123,2,BS-NET (2m),Ventral Attn,0.4482758620689655
123,2,BS-NET (2m),Limbic,0.4444444444444444
123,2,BS-NET (2m),Control,0.5
123,2,BS-NET (2m),Default Mode,0.7894736842105263
123,3,Raw FC (2m),Visual,1.0
123,3,Raw FC (2m),Somatomotor,0.9285714285714286
123,3,Raw FC (2m),Dorsal Attn,0.9285714285714286
123,3,Raw FC (2m),Ventral Attn,0.5
123,3,Raw FC (2m),Limbic,0.5
123,3,Raw FC (2m),Control,0.9333333333333333
123,3,Raw FC (2m),Default Mode,0.9411764705882353
123,3,BS-NET (2m),Visual,1.0
123,3,BS-NET (2m),Somatomotor,0.9285714285714286
123,3,BS-NET (2m),Dorsal Attn,0.9285714285714286
123,3,BS-NET (2m),Ventral Attn,0.5
123,3,BS-NET (2m),Limbic,0.5
123,3,BS-NET (2m),Control,0.9333333333333333
123,3,BS-NET (2m),Default Mode,0.9411764705882353
123,4,Raw FC (2m),Visual,1.0
123,4,Raw FC (2m),Somatomotor,1.0
123,4,Raw FC (2m),Dorsal Attn,1.0
123,4,Raw FC (2m),Ventral Attn,1.0
123,4,Raw FC (2m),Limbic,1.0
123,4,Raw FC (2m),Control,1.0
123,4,Raw FC (2m),Default Mode,1.0
