subject_id,seed,rho_hat_T,ci_lower,ci_upper,r_fc,pass,split_half_r,mean_abs_fc,snr,mean_ar1,n_low_var_rois,temporal_var,signal_var,noise_var
12,1012,0.9999,0.9999,0.9999,0.8022076411631242,True,0.4139909811344185,0.13962631939344694,3.6639942220461705,0.44932512590100193,0,1.11933098471541,0.9270482659724031,0.2530157554273352
13,1013,0.9999,0.973805121308367,0.9999,0.7874955861418305,True,0.4033628268662472,0.146615216832614,3.5892435901535076,0.45369795001044794,0,1.0930589493666594,0.8851033285555415,0.24659884633733836
14,1014,0.9999,0.9999,0.9999,0.846924235237963,True,0.43429512516884855,0.13398643212189287,4.089003287652579,0.46080109183848983,0,1.1884403650993733,1.02142864461149,0.24979892965502437
15,1015,0.9999,0.9798353347700491,0.9999,0.7937426586656648,True,0.447497810746313,0.15924013183563296,4.002273014132219,0.4825162620350108,0,1.149622959292013,0.9979336732962638,0.24934172900562057
16,1016,0.9999,0.9332509321174864,0.9999,0.758060906541284,True,0.36616825051167207,0.15355411785424472,3.860818403659693,0.46806782959209636,0,1.1469970173391029,0.9705273455106921,0.2513786570719626
17,1017,0.9999,0.9492869317429105,0.9999,0.8012781972605046,True,0.5546611975096951,0.14458837489080492,3.6118819895091834,0.42159123287618344,0,1.1537495885669036,0.9140909210902987,0.25307884469794484
18,1018,0.9999,0.9907806401793952,0.9999,0.8048392551823836,True,0.40038647670637356,0.13657513372125263,3.669826983055038,0.4554598303292009,0,1.0663779371336723,0.9075859659827964,0.24731028742593583
19,1019,0.9999,0.9238147916061378,0.9999,0.7855610660437751,True,0.35698185104405955,0.12545127385325552,3.363993863990718,0.4129391222659197,0,1.04878430048981,0.8409200674116585,0.24997669478923248
20,1020,0.9999,0.9999,0.9999,0.8211826535629504,True,0.4548013676048548,0.14736501949996442,4.2527468139671205,0.4692878185102311,0,1.157857295006368,1.0257825792682762,0.24120471406840888
21,1021,0.9999,0.9681969263780954,0.9999,0.8039411986234017,True,0.49449380575235247,0.1351372205446001,3.5468755145159205,0.4392554505957814,0,1.087642908154035,0.8973839885315162,0.2530069027962465
22,1022,0.9999,0.9810737159657024,0.9999,0.8087911064434766,True,0.4041517012704564,0.13600217936532114,3.6637618086014943,0.4370572791855188,0,1.1185524573182382,0.9229481430821636,0.25191270374491537
23,1023,0.9999,0.9999,0.9999,0.8480869657108889,True,0.4822855198818981,0.1497930591372425,4.3804150141379825,0.4906526115287,0,1.2114736944362343,1.0611256153839228,0.24224316918810046
24,1024,0.9999,0.9677351221882795,0.9999,0.799667673925211,True,0.42554144493272006,0.13863146857358352,3.815409844157586,0.46061135033950323,0,1.1421932569727535,0.9278625522193417,0.24318817377906274
25,1025,0.9999,0.9804060759663108,0.9999,0.8063528763987228,True,0.42580173413336897,0.13487915846136564,3.5768850191291794,0.4294770079810708,0,1.0985020577779816,0.90590298319865,0.2532658943057664
26,1026,0.9999,0.9955674123169567,0.9999,0.8063889266182367,True,0.44299837539709286,0.13851344815926764,3.9278097669428664,0.4653508263044741,0,1.1472617365816296,0.9819362711080306,0.24999588304203985
27,1027,0.9999,0.963138927373632,0.9999,0.7997171231553213,True,0.37086527614212533,0.13250207811368353,3.5738244730890134,0.44288503691523445,0,1.1065442621714492,0.9115602245653528,0.255065751390261
28,1028,0.9999,0.9777826663385485,0.9999,0.8181595906745516,True,0.450618487922529,0.1467267461890599,3.765556948358533,0.44642806426688414,0,1.1673189353576585,0.9403461880900195,0.24972300272870165
29,1029,0.9999,0.9999,0.9999,0.8520475532613846,True,0.4612616204750463,0.13828733952314337,4.551114464658741,0.4804486079716237,0,1.2536682814340636,1.095932882557798,0.2408053875744422
30,1030,0.9999,0.9896068920339893,0.9999,0.8238357810462045,True,0.4541702715442833,0.13914741699004982,3.962924705071865,0.46553374518308993,0,1.1594267197453703,0.9690262152853809,0.24452299435444566
31,1031,0.9999,0.9847138993965149,0.9999,0.8088224747755045,True,0.46352322680785657,0.14023761726363906,3.847570813698039,0.4393745826608361,0,1.126323710090079,0.9451009990933312,0.245635764708632
32,1032,0.9999,0.9452886708179449,0.9999,0.8297901780488679,True,0.5018252917985242,0.14221528465052796,3.7480215609483087,0.45575452557563445,0,1.0995596253167867,0.8989750869488706,0.23985323252020346
33,1033,0.9999,0.9468935011804327,0.9999,0.8109966043839135,True,0.4143006883381787,0.1382944068675864,3.710759701194713,0.443634853038014,0,1.0867033887041104,0.9104233461959175,0.24534688837512125
34,1034,0.9999,0.9999,0.9999,0.8095133381290692,True,0.4080615104662561,0.15198380148071836,3.9182729334660076,0.4603392934337554,0,1.1423059983155293,0.9746381783385206,0.24874177855608945
35,1035,0.9999,0.9999,0.9999,0.8340112197064597,True,0.5097565830176708,0.15244036726113647,3.982808230603043,0.46015749340809653,0,1.208255930307395,0.9869902667313285,0.24781265117097714
36,1036,0.9999,0.9999,0.9999,0.8316394680515808,True,0.49070062841820783,0.14824845923121327,4.1504202150489125,0.4780590437184933,0,1.2547032927000241,1.039103134591649,0.2503609467841326
37,1037,0.9999,0.9999,0.9999,0.8552017752806051,True,0.4229250883138729,0.14357714474645517,4.0015574284321715,0.4758079750235275,0,1.1849879570991424,0.9964487950395221,0.2490152429050444
38,1038,0.9999,0.9982168779876199,0.9999,0.8112590866876367,True,0.4466959907294388,0.14053807377875205,4.040626371237051,0.4620106391688601,0,1.1833011756515222,1.0147848149034455,0.2511454219393133
