Subject,Model,Network,Jaccard Overlap
12,Raw FC (2m),Limbic,0.6111111111111112
12,Raw FC (2m),Control,0.5
12,Raw FC (2m),Default Mode,1.0
12,BS-NET (2m),Visual,0.9333333333333333
12,BS-NET (2m),Somatomotor,1.0
12,BS-NET (2m),Dorsal Attn,1.0
12,BS-NET (2m),Ventral Attn,0.875
12,BS-NET (2m),Limbic,0.6111111111111112
12,BS-NET (2m),Control,0.5
12,BS-NET (2m),Default Mode,1.0
13,Raw FC (2m),Visual,0.8571428571428571
13,Raw FC (2m),Somatomotor,0.9333333333333333
13,Raw FC (2m),Dorsal Attn,0.4827586206896552
13,Raw FC (2m),Ventral Attn,0.4827586206896552
13,Raw FC (2m),Limbic,0.6428571428571429
13,Raw FC (2m),Control,0.9333333333333333
13,Raw FC (2m),Default Mode,0.8
13,BS-NET (2m),Visual,0.9285714285714286
13,BS-NET (2m),Somatomotor,0.4827586206896552
13,BS-NET (2m),Dorsal Attn,0.4827586206896552
13,BS-NET (2m),Ventral Attn,0.4827586206896552
13,BS-NET (2m),Limbic,0.6428571428571429
13,BS-NET (2m),Control,0.4827586206896552
13,BS-NET (2m),Default Mode,0.8
14,Raw FC (2m),Visual,0.8
14,Raw FC (2m),Somatomotor,0.875
14,Raw FC (2m),Dorsal Attn,1.0
14,Raw FC (2m),Ventral Attn,0.8571428571428571
14,Raw FC (2m),Limbic,0.41935483870967744
14,Raw FC (2m),Control,0.8125
14,Raw FC (2m),Default Mode,0.5333333333333333
14,BS-NET (2m),Visual,0.8
14,BS-NET (2m),Somatomotor,0.875
14,BS-NET (2m),Dorsal Attn,1.0
14,BS-NET (2m),Ventral Attn,0.8571428571428571
14,BS-NET (2m),Limbic,0.41935483870967744
14,BS-NET (2m),Control,0.8125
14,BS-NET (2m),Default Mode,0.5333333333333333
15,Raw FC (2m),Visual,0.8235294117647058
15,Raw FC (2m),Somatomotor,1.0
15,Raw FC (2m),Dorsal Attn,0.5714285714285714
15,Raw FC (2m),Ventral Attn,0.8571428571428571
15,Raw FC (2m),Limbic,0.7777777777777778
15,Raw FC (2m),Control,0.8666666666666667
15,Raw FC (2m),Default Mode,0.9411764705882353
15,BS-NET (2m),Visual,0.8235294117647058
15,BS-NET (2m),Somatomotor,1.0
15,BS-NET (2m),Dorsal Attn,0.5714285714285714
15,BS-NET (2m),Ventral Attn,0.8571428571428571
15,BS-NET (2m),Limbic,0.7777777777777778
15,BS-NET (2m),Control,0.8666666666666667
15,BS-NET (2m),Default Mode,0.9411764705882353
16,Raw FC (2m),Visual,0.9285714285714286
16,Raw FC (2m),Somatomotor,0.9285714285714286
16,Raw FC (2m),Dorsal Attn,0.9333333333333333
16,Raw FC (2m),Ventral Attn,1.0
16,Raw FC (2m),Limbic,1.0
16,Raw FC (2m),Control,0.9333333333333333
16,Raw FC (2m),Default Mode,1.0
16,BS-NET (2m),Visual,0.9285714285714286
16,BS-NET (2m),Somatomotor,0.9285714285714286
16,BS-NET (2m),Dorsal Attn,0.9333333333333333
16,BS-NET (2m),Ventral Attn,1.0
16,BS-NET (2m),Limbic,1.0
16,BS-NET (2m),Control,0.9333333333333333
16,BS-NET (2m),Default Mode,1.0
17,Raw FC (2m),Visual,0.4482758620689655
17,Raw FC (2m),Somatomotor,0.42424242424242425
17,Raw FC (2m),Dorsal Attn,0.9285714285714286
17,Raw FC (2m),Ventral Attn,0.5
17,Raw FC (2m),Limbic,0.42857142857142855
17,Raw FC (2m),Control,0.5384615384615384
17,Raw FC (2m),Default Mode,0.48484848484848486
17,BS-NET (2m),Visual,0.4642857142857143
17,BS-NET (2m),Somatomotor,0.42424242424242425
17,BS-NET (2m),Dorsal Attn,0.9285714285714286
17,BS-NET (2m),Ventral Attn,0.5185185185185185
17,BS-NET (2m),Limbic,0.4642857142857143
17,BS-NET (2m),Control,0.5185185185185185
17,BS-NET (2m),Default Mode,0.48484848484848486
18,Raw FC (2m),Visual,0.25
18,Raw FC (2m),Somatomotor,0.9285714285714286
18,Raw FC (2m),Dorsal Attn,0.8666666666666667
18,Raw FC (2m),Ventral Attn,0.8235294117647058
18,Raw FC (2m),Limbic,0.6666666666666666
18,Raw FC (2m),Control,1.0
18,Raw FC (2m),Default Mode,0.7619047619047619
18,BS-NET (2m),Visual,0.25
18,BS-NET (2m),Somatomotor,0.9285714285714286
18,BS-NET (2m),Dorsal Attn,0.7333333333333333
18,BS-NET (2m),Ventral Attn,0.8235294117647058
18,BS-NET (2m),Limbic,0.6666666666666666
18,BS-NET (2m),Control,0.875
18,BS-NET (2m),Default Mode,0.7619047619047619
19,Raw FC (2m),Visual,1.0
19,Raw FC (2m),Somatomotor,1.0
19,Raw FC (2m),Dorsal Attn,1.0
19,Raw FC (2m),Ventral Attn,0.9285714285714286
19,Raw FC (2m),Limbic,1.0
19,Raw FC (2m),Control,1.0
19,Raw FC (2m),Default Mode,0.9411764705882353
19,BS-NET (2m),Visual,1.0
19,BS-NET (2m),Somatomotor,1.0
19,BS-NET (2m),Dorsal Attn,1.0
19,BS-NET (2m),Ventral Attn,0.9285714285714286
19,BS-NET (2m),Limbic,1.0
19,BS-NET (2m),Control,1.0
19,BS-NET (2m),Default Mode,0.9411764705882353
20,Raw FC (2m),Visual,1.0
20,Raw FC (2m),Somatomotor,0.3793103448275862
20,Raw FC (2m),Dorsal Attn,0.7647058823529411
20,Raw FC (2m),Ventral Attn,0.9333333333333333
20,Raw FC (2m),Limbic,0.3793103448275862
20,Raw FC (2m),Control,0.7777777777777778
20,Raw FC (2m),Default Mode,0.5882352941176471
20,BS-NET (2m),Visual,1.0
20,BS-NET (2m),Somatomotor,0.7333333333333333
20,BS-NET (2m),Dorsal Attn,0.7647058823529411
20,BS-NET (2m),Ventral Attn,0.9333333333333333
20,BS-NET (2m),Limbic,0.3548387096774194
20,BS-NET (2m),Control,0.9333333333333333
20,BS-NET (2m),Default Mode,0.5714285714285714
21,Raw FC (2m),Visual,0.875
21,Raw FC (2m),Somatomotor,0.7368421052631579
21,Raw FC (2m),Dorsal Attn,0.3448275862068966
21,Raw FC (2m),Ventral Attn,0.8666666666666667
21,Raw FC (2m),Limbic,0.9333333333333333
