Seed,Subject,Model,Network,Jaccard
777,2,BS-NET (2m),Dorsal Attn,1.0
777,2,BS-NET (2m),Ventral Attn,0.8571428571428571
777,2,BS-NET (2m),Limbic,1.0
777,2,BS-NET (2m),Control,0.5384615384615384
777,2,BS-NET (2m),Default Mode,0.8421052631578947
777,3,Raw FC (2m),Visual,0.7857142857142857
777,3,Raw FC (2m),Somatomotor,0.8
777,3,Raw FC (2m),Dorsal Attn,0.41935483870967744
777,3,Raw FC (2m),Ventral Attn,0.375
777,3,Raw FC (2m),Limbic,0.9285714285714286
777,3,Raw FC (2m),Control,0.8666666666666667
777,3,Raw FC (2m),Default Mode,0.8421052631578947
777,3,BS-NET (2m),Visual,0.52
777,3,BS-NET (2m),Somatomotor,0.8
777,3,BS-NET (2m),Dorsal Attn,0.65
777,3,BS-NET (2m),Ventral Attn,0.3103448275862069
777,3,BS-NET (2m),Limbic,0.9285714285714286
777,3,BS-NET (2m),Control,0.8666666666666667
777,3,BS-NET (2m),Default Mode,0.9411764705882353
777,4,Raw FC (2m),Visual,0.9333333333333333
777,4,Raw FC (2m),Somatomotor,0.9285714285714286
777,4,Raw FC (2m),Dorsal Attn,0.8
777,4,Raw FC (2m),Ventral Attn,0.8666666666666667
777,4,Raw FC (2m),Limbic,0.9285714285714286
777,4,Raw FC (2m),Control,0.8
777,4,Raw FC (2m),Default Mode,0.8421052631578947
777,4,BS-NET (2m),Visual,0.9333333333333333
777,4,BS-NET (2m),Somatomotor,0.8666666666666667
777,4,BS-NET (2m),Dorsal Attn,0.3333333333333333
777,4,BS-NET (2m),Ventral Attn,0.8666666666666667
777,4,BS-NET (2m),Limbic,0.7647058823529411
777,4,BS-NET (2m),Control,0.44
777,4,BS-NET (2m),Default Mode,0.8421052631578947
2026,0,Raw FC (2m),Visual,0.875
2026,0,Raw FC (2m),Somatomotor,1.0
2026,0,Raw FC (2m),Dorsal Attn,0.9285714285714286
2026,0,Raw FC (2m),Ventral Attn,0.9285714285714286
2026,0,Raw FC (2m),Limbic,0.8571428571428571
2026,0,Raw FC (2m),Control,0.9333333333333333
2026,0,Raw FC (2m),Default Mode,1.0
2026,0,BS-NET (2m),Visual,0.875
2026,0,BS-NET (2m),Somatomotor,1.0
2026,0,BS-NET (2m),Dorsal Attn,0.9285714285714286
2026,0,BS-NET (2m),Ventral Attn,0.9285714285714286
2026,0,BS-NET (2m),Limbic,0.8571428571428571
2026,0,BS-NET (2m),Control,0.9333333333333333
2026,0,BS-NET (2m),Default Mode,1.0
2026,1,Raw FC (2m),Visual,1.0
2026,1,Raw FC (2m),Somatomotor,1.0
2026,1,Raw FC (2m),Dorsal Attn,0.8571428571428571
