subject,dataset,scan_min,tr,true_rho,pred_rho,error,is_above_80
ds000030_sub-10638,ds000030,5.0666666,2.0,0.9131635074406458,0.8003836978570363,0.11277980958360945,True
ds000030_sub-10668,ds000030,5.0666666,2.0,0.9320630805411921,0.8381566229764952,0.09390645756469695,True
ds000030_sub-10672,ds000030,5.0666666,2.0,0.9326247447537811,0.9212665005231797,0.011358244230601389,True
ds000030_sub-10674,ds000030,5.0666666,2.0,0.9157069482838559,0.7918380390630665,0.12386890922078941,False
ds000030_sub-10678,ds000030,5.0666666,2.0,0.9288264168922471,0.8344722815651399,0.09435413532710724,True
ds000030_sub-10680,ds000030,5.0666666,2.0,0.9390913031634582,0.9401100895972847,0.0010187864338264685,True
ds000030_sub-10686,ds000030,5.0666666,2.0,0.9222805324148725,0.843364177932299,0.0789163544825735,True
ds000030_sub-10692,ds000030,5.0666666,2.0,0.9288682067004496,0.832262145911915,0.09660606078853451,True
ds000030_sub-10696,ds000030,5.0666666,2.0,0.9257331014877576,0.8462486180529423,0.07948448343481529,True
ds000030_sub-10697,ds000030,5.0666666,2.0,0.9256242300985538,0.8976289268251318,0.027995303273421923,True
ds000030_sub-10704,ds000030,5.0666666,2.0,0.915550647417706,0.8783430971537237,0.03720755026398226,True
ds000030_sub-10707,ds000030,5.0666666,2.0,0.9429184334114858,0.979475935877195,0.0365575024657091,True
ds000030_sub-10708,ds000030,5.0666666,2.0,0.9341502020654239,0.9071306592445694,0.027019542820854503,True
ds000030_sub-10719,ds000030,5.0666666,2.0,0.9423479610654819,0.8730536584514079,0.06929430261407399,True
ds000030_sub-10724,ds000030,5.0666666,2.0,0.9322752938173522,0.9008968730629597,0.031378420754392455,True
ds000030_sub-10746,ds000030,5.0666666,2.0,0.9345262091645198,0.905433072407311,0.029093136757208815,True
ds000030_sub-10762,ds000030,5.0666666,2.0,0.9316918619450673,0.8690507142640177,0.06264114768104956,True
ds000030_sub-10779,ds000030,5.0666666,2.0,0.939425579428558,0.986813250647168,0.047387671218609984,True
ds000030_sub-10785,ds000030,5.0666666,2.0,0.9191630660596715,0.7813335579326467,0.13782950812702477,False
ds000030_sub-10788,ds000030,5.0666666,2.0,0.9150205999076979,0.844459974326013,0.07056062558168485,True
ds000030_sub-10844,ds000030,5.0666666,2.0,0.9409443681590295,0.8803395184980136,0.06060484966101587,True
ds000030_sub-10855,ds000030,5.0666666,2.0,0.9136948074740845,0.7887267618876354,0.12496804558644914,False
ds000030_sub-10871,ds000030,5.0666666,2.0,0.9264461872114158,0.8605893151557935,0.0658568720556223,True
ds000030_sub-10877,ds000030,5.0666666,2.0,0.922924284865375,0.8766187588731988,0.04630552599217619,True
ds000030_sub-10882,ds000030,5.0666666,2.0,0.9426761675331905,0.9462310982396775,0.0035549307064870472,True
ds000030_sub-10891,ds000030,5.0666666,2.0,0.9372816699807821,0.9800369958288377,0.042755325848055636,True
ds000030_sub-10893,ds000030,5.0666666,2.0,0.9327264677810951,0.917530739927474,0.01519572785362111,True
ds000030_sub-10912,ds000030,5.0666666,2.0,0.9391488871479948,0.8878392694037047,0.051309617744290104,True
ds000030_sub-10934,ds000030,5.0666666,2.0,0.9470032009137274,0.9899777632291235,0.04297456231539609,True
ds000030_sub-10940,ds000030,5.0666666,2.0,0.9468980931989521,0.9503985882990122,0.003500495100060119,True
ds000030_sub-10949,ds000030,5.0666666,2.0,0.9489563562547199,0.9596090664305027,0.010652710175782842,True
ds000030_sub-10958,ds000030,5.0666666,2.0,0.9418572377621355,0.9037894580931758,0.03806777966895969,True
ds000030_sub-10963,ds000030,5.0666666,2.0,0.9115237090777971,0.7484833849937783,0.1630403240840188,False
ds000030_sub-10968,ds000030,5.0666666,2.0,0.9428761797668584,0.8130586118146876,0.1298175679521708,True
ds000030_sub-10971,ds000030,5.0666666,2.0,0.9183326244266136,0.8612441559104558,0.057088468516157787,True
ds000030_sub-10975,ds000030,5.0666666,2.0,0.9434577778474962,0.8901042268151003,0.05335355103239592,True
ds000030_sub-10977,ds000030,5.0666666,2.0,0.9439106885999534,0.8690543030197313,0.07485638558022212,True
ds000030_sub-10987,ds000030,5.0666666,2.0,0.9511582011652366,0.9120439145781635,0.039114286587073166,True
ds000030_sub-10998,ds000030,5.0666666,2.0,0.9462193336973744,0.9397852004964549,0.006434133200919567,True
ds000030_sub-11019,ds000030,5.0666666,2.0,0.9272739918309219,0.8169682268139554,0.11030576501696643,True
ds000030_sub-11030,ds000030,5.0666666,2.0,0.9377384713410176,0.8613489313143274,0.07638954002669018,True
