Subject,Model,ARI
71,BS-NET (2m),0.7809936630374188
72,Raw FC (2m),0.9291375203474304
72,BS-NET (2m),0.9291375203474304
73,Raw FC (2m),0.6893997276019002
73,BS-NET (2m),0.7980664373138853
74,Raw FC (2m),0.9316004395203058
74,BS-NET (2m),0.8166666666666667
75,Raw FC (2m),0.8298530549110595
75,BS-NET (2m),0.8046803720266921
76,Raw FC (2m),0.6131156975907659
76,BS-NET (2m),0.6131156975907659
77,Raw FC (2m),0.817543495555325
77,BS-NET (2m),0.8602496725218187
78,Raw FC (2m),0.6575981571388998
78,BS-NET (2m),0.6575981571388998
79,Raw FC (2m),0.8867213171457231
79,BS-NET (2m),0.7275013173872202
80,Raw FC (2m),0.8761921067315984
80,BS-NET (2m),0.8761921067315984
81,Raw FC (2m),0.7976992540897369
81,BS-NET (2m),0.7976992540897369
82,Raw FC (2m),0.7488455457186728
82,BS-NET (2m),0.7389000138102472
83,Raw FC (2m),0.7981247288865161
83,BS-NET (2m),0.7791311984303655
84,Raw FC (2m),0.7726429101707498
84,BS-NET (2m),0.7726429101707498
85,Raw FC (2m),0.7963677462099068
85,BS-NET (2m),0.7963677462099068
86,Raw FC (2m),0.6713412604762337
86,BS-NET (2m),0.6713412604762337
87,Raw FC (2m),0.6397285139294452
87,BS-NET (2m),0.6504270883295722
88,Raw FC (2m),0.7555428151159524
88,BS-NET (2m),0.7555428151159524
89,Raw FC (2m),0.8843464396906698
89,BS-NET (2m),0.8843464396906698
90,Raw FC (2m),0.7911069939786939
90,BS-NET (2m),0.6619569504299487
91,Raw FC (2m),0.7628885604228254
91,BS-NET (2m),0.7628885604228254
92,Raw FC (2m),0.5935327209930169
92,BS-NET (2m),0.8826202671487395
93,Raw FC (2m),0.7554354730788451
93,BS-NET (2m),0.7554354730788451
94,Raw FC (2m),0.8856397557794454
94,BS-NET (2m),0.8856397557794454
95,Raw FC (2m),0.7348891937311233
95,BS-NET (2m),0.8134943597210037
96,Raw FC (2m),0.9541116872731166
96,BS-NET (2m),0.9541116872731166
97,Raw FC (2m),0.953216263727955
97,BS-NET (2m),0.953216263727955
98,Raw FC (2m),0.8163305168578971
98,BS-NET (2m),0.6516392294024338
99,Raw FC (2m),0.6899051741752877
99,BS-NET (2m),0.6899051741752877
