Seed,Subject,Model,ARI
9999,19,Raw FC (2m),0.7125578617291325
9999,19,BS-NET (2m),0.7125578617291325
314,0,Raw FC (2m),0.9748913005834033
314,0,BS-NET (2m),0.9748913005834033
314,1,Raw FC (2m),0.9080488051076286
314,1,BS-NET (2m),0.9080488051076286
314,2,Raw FC (2m),0.650818380830979
314,2,BS-NET (2m),0.650818380830979
314,3,Raw FC (2m),0.803788634664529
314,3,BS-NET (2m),0.7864733627692985
314,4,Raw FC (2m),0.7456508066604627
314,4,BS-NET (2m),0.8860726122326001
314,5,Raw FC (2m),0.9085128552776941
314,5,BS-NET (2m),0.7668443090978302
314,6,Raw FC (2m),0.7442906205828418
314,6,BS-NET (2m),0.8385009876799101
314,7,Raw FC (2m),0.6176502044409342
314,7,BS-NET (2m),0.607151695124969
314,8,Raw FC (2m),0.751416750686646
314,8,BS-NET (2m),0.7660717877977986
314,9,Raw FC (2m),0.7807429681137631
314,9,BS-NET (2m),0.7807429681137631
314,10,Raw FC (2m),0.6859477788570382
314,10,BS-NET (2m),0.7025131707415021
314,11,Raw FC (2m),0.8186697159645769
314,11,BS-NET (2m),0.8159943083164644
314,12,Raw FC (2m),0.7277625653879987
314,12,BS-NET (2m),0.7436892609625877
314,13,Raw FC (2m),0.7014339694551217
314,13,BS-NET (2m),0.6835062170436509
314,14,Raw FC (2m),0.6440629883764815
314,14,BS-NET (2m),0.6796186600593997
314,15,Raw FC (2m),0.8159943083164644
314,15,BS-NET (2m),0.8159943083164644
314,16,Raw FC (2m),0.8873724867524841
314,16,BS-NET (2m),0.7108850805589982
314,17,Raw FC (2m),0.7419746093861742
314,17,BS-NET (2m),0.7561345393588842
314,18,Raw FC (2m),0.7107588594333607
314,18,BS-NET (2m),0.7107588594333607
314,19,Raw FC (2m),0.7551244070757059
314,19,BS-NET (2m),0.7551244070757059
628,0,Raw FC (2m),0.9056259228824473
628,0,BS-NET (2m),0.9056259228824473
628,1,Raw FC (2m),0.8739779971113703
628,1,BS-NET (2m),0.8739779971113703
628,2,Raw FC (2m),0.8055621022861184
628,2,BS-NET (2m),0.8055621022861184
628,3,Raw FC (2m),0.7881741663515539
628,3,BS-NET (2m),0.7778248587570622
628,4,Raw FC (2m),0.7202472024720247
628,4,BS-NET (2m),0.7202472024720247
628,5,Raw FC (2m),0.9318591703912805
628,5,BS-NET (2m),0.9318591703912805
628,6,Raw FC (2m),0.8601800241036457
628,6,BS-NET (2m),0.8235400391233382
628,7,Raw FC (2m),0.7446390052023855
628,7,BS-NET (2m),0.6614839123957167
628,8,Raw FC (2m),0.7090343906325361
628,8,BS-NET (2m),0.7090343906325361
628,9,Raw FC (2m),0.7819005142286996
628,9,BS-NET (2m),0.7819005142286996
628,10,Raw FC (2m),0.7747175141242938
628,10,BS-NET (2m),0.762221691297769
628,11,Raw FC (2m),0.7682490602643386
628,11,BS-NET (2m),0.7330714837952381
628,12,Raw FC (2m),0.5279389132236297
628,12,BS-NET (2m),0.6463229276277329
628,13,Raw FC (2m),0.7863466775947886
628,13,BS-NET (2m),0.6999991272701884
628,14,Raw FC (2m),0.6513021893995865
628,14,BS-NET (2m),0.8108564867452156
628,15,Raw FC (2m),0.7226492651227703
628,15,BS-NET (2m),0.9062193981146892
628,16,Raw FC (2m),0.7933287085212163
628,16,BS-NET (2m),0.6197747738198709
628,17,Raw FC (2m),0.8108564867452156
628,17,BS-NET (2m),1.0
628,18,Raw FC (2m),0.7530646378233541
628,18,BS-NET (2m),0.7530646378233541
628,19,Raw FC (2m),0.8487705240003143
628,19,BS-NET (2m),0.8270425485291146
1414,0,Raw FC (2m),0.7221361073794679
1414,0,BS-NET (2m),0.7221361073794679
1414,1,Raw FC (2m),0.8149027992239775
1414,1,BS-NET (2m),0.8149027992239775
1414,2,Raw FC (2m),0.8216034481683165
1414,2,BS-NET (2m),0.847904921721314
1414,3,Raw FC (2m),0.7358725765816263
1414,3,BS-NET (2m),0.7416439091566883
1414,4,Raw FC (2m),0.9178332125465665
1414,4,BS-NET (2m),0.9177280857537508
1414,5,Raw FC (2m),0.8005190257324204
1414,5,BS-NET (2m),0.6796440521270719
1414,6,Raw FC (2m),0.6856857623378797
1414,6,BS-NET (2m),0.6006356456966161
1414,7,Raw FC (2m),0.5853104077733748
1414,7,BS-NET (2m),0.5169042094796155
1414,8,Raw FC (2m),0.6134147916809143
1414,8,BS-NET (2m),0.6134147916809143
1414,9,Raw FC (2m),0.7423829436628462
1414,9,BS-NET (2m),0.7423829436628462
1414,10,Raw FC (2m),0.793894352619444
1414,10,BS-NET (2m),0.7789719035973041
1414,11,Raw FC (2m),0.8444879443201591
1414,11,BS-NET (2m),0.8444879443201591
1414,12,Raw FC (2m),0.8079851267340226
1414,12,BS-NET (2m),0.8079851267340226
1414,13,Raw FC (2m),0.6449711348744306
1414,13,BS-NET (2m),0.6492083739776394
1414,14,Raw FC (2m),0.8588101230950324
1414,14,BS-NET (2m),0.8588101230950324
1414,15,Raw FC (2m),0.965931290799066
1414,15,BS-NET (2m),0.965931290799066
1414,16,Raw FC (2m),0.9515448996287207
1414,16,BS-NET (2m),0.908628136891664
1414,17,Raw FC (2m),0.9316004395203058
1414,17,BS-NET (2m),0.7690472991131416
1414,18,Raw FC (2m),0.882128968272591
1414,18,BS-NET (2m),0.882128968272591
1414,19,Raw FC (2m),0.7016120698563605
1414,19,BS-NET (2m),0.7094571447489255
2718,0,Raw FC (2m),0.753818397168395
2718,0,BS-NET (2m),0.7680945850405035
2718,1,Raw FC (2m),0.7752280132129288
2718,1,BS-NET (2m),0.6485116694864539
2718,2,Raw FC (2m),0.8611307143417235
2718,2,BS-NET (2m),0.8611307143417235
2718,3,Raw FC (2m),0.6611578793179214
2718,3,BS-NET (2m),0.6820272202756977
2718,4,Raw FC (2m),0.808201336078316
2718,4,BS-NET (2m),0.808201336078316
2718,5,Raw FC (2m),0.7618753092528451
2718,5,BS-NET (2m),0.7525263701408866
2718,6,Raw FC (2m),0.783130464597977
