Seed,Subject,Metric,Value
123,3,Adjacent Window Consistency,0.5862968493547238
123,4,Window vs Reference,0.6754322501684881
123,4,Window vs Reference,0.6626114108391465
123,4,Window vs Reference,0.6985192318423695
123,4,Window vs Reference,0.6665709120599957
123,4,Window vs Reference,0.6513188091865247
123,4,Window vs Reference,0.6474326950091926
123,4,Window vs Reference,0.6836114433622941
123,4,Window vs Reference,0.6638816099480157
123,4,Window vs Reference,0.6362350954275596
123,4,Window vs Reference,0.6853152703577992
123,4,Window vs Reference,0.7026768485550537
123,4,Window vs Reference,0.6622811671638518
123,4,Window vs Reference,0.6418083419211471
123,4,Window vs Reference,0.7240934371364578
123,4,Adjacent Window Consistency,0.648697555755804
123,4,Adjacent Window Consistency,0.6423292243059675
123,4,Adjacent Window Consistency,0.7382492120148219
123,4,Adjacent Window Consistency,0.6554125233867183
123,4,Adjacent Window Consistency,0.6459774066311283
123,4,Adjacent Window Consistency,0.6413524602113729
123,4,Adjacent Window Consistency,0.6955801733406157
123,4,Adjacent Window Consistency,0.6286546690470148
123,4,Adjacent Window Consistency,0.6384159834639767
123,4,Adjacent Window Consistency,0.7062119444022931
123,4,Adjacent Window Consistency,0.6853645656524053
123,4,Adjacent Window Consistency,0.6612688113620657
123,4,Adjacent Window Consistency,0.6764578595139941
123,5,Window vs Reference,0.6709716985177209
123,5,Window vs Reference,0.7034315374214186
123,5,Window vs Reference,0.6857474492743385
123,5,Window vs Reference,0.6952788029460378
123,5,Window vs Reference,0.6570471106771878
123,5,Window vs Reference,0.6713587072233361
123,5,Window vs Reference,0.7093567074180414
123,5,Window vs Reference,0.7375820318160237
123,5,Window vs Reference,0.6828983094812946
123,5,Window vs Reference,0.6618935385483902
123,5,Window vs Reference,0.6837443005988234
123,5,Window vs Reference,0.6613292439214501
123,5,Window vs Reference,0.6418825845089785
123,5,Window vs Reference,0.6635483259241557
123,5,Adjacent Window Consistency,0.7171794599770721
123,5,Adjacent Window Consistency,0.6999906835702002
123,5,Adjacent Window Consistency,0.7088410775938846
123,5,Adjacent Window Consistency,0.651419012531669
123,5,Adjacent Window Consistency,0.6759953528245433
123,5,Adjacent Window Consistency,0.6739669762018475
123,5,Adjacent Window Consistency,0.749627650550727
123,5,Adjacent Window Consistency,0.7143644953066305
123,5,Adjacent Window Consistency,0.6836231563645918
123,5,Adjacent Window Consistency,0.7019468917230678
123,5,Adjacent Window Consistency,0.6324280285084042
123,5,Adjacent Window Consistency,0.7016349392306619
123,5,Adjacent Window Consistency,0.6820207247224741
123,6,Window vs Reference,0.7301306283490755
123,6,Window vs Reference,0.7191039160502567
123,6,Window vs Reference,0.6362434469062261
123,6,Window vs Reference,0.6487350643582704
123,6,Window vs Reference,0.6928907676421497
123,6,Window vs Reference,0.6959364259986536
123,6,Window vs Reference,0.6871023068321732
123,6,Window vs Reference,0.6325087226404137
123,6,Window vs Reference,0.6574992432784242
123,6,Window vs Reference,0.7366417071506252
123,6,Window vs Reference,0.7414730141790207
123,6,Window vs Reference,0.7298406072927388
123,6,Window vs Reference,0.6609135695283674
123,6,Window vs Reference,0.636865994363974
123,6,Adjacent Window Consistency,0.7049081669301258
123,6,Adjacent Window Consistency,0.6769434647217151
123,6,Adjacent Window Consistency,0.666419915963257
123,6,Adjacent Window Consistency,0.695100054115038
123,6,Adjacent Window Consistency,0.6675780776704608
123,6,Adjacent Window Consistency,0.6989936397092397
123,6,Adjacent Window Consistency,0.6673086014119634
123,6,Adjacent Window Consistency,0.625552070985889
123,6,Adjacent Window Consistency,0.7321688924840216
123,6,Adjacent Window Consistency,0.7251545527945283
123,6,Adjacent Window Consistency,0.7118729478720296
123,6,Adjacent Window Consistency,0.7379236995818891
123,6,Adjacent Window Consistency,0.6514343429916823
123,7,Window vs Reference,0.6662683861914734
123,7,Window vs Reference,0.6548412810342218
123,7,Window vs Reference,0.6674327320089952
123,7,Window vs Reference,0.703591778567171
123,7,Window vs Reference,0.6757891674477644
123,7,Window vs Reference,0.6903396857062968
123,7,Window vs Reference,0.6877900966684817
123,7,Window vs Reference,0.6763539163956863
123,7,Window vs Reference,0.6966177665162857
123,7,Window vs Reference,0.6381967967661123
123,7,Window vs Reference,0.6723036009605354
123,7,Window vs Reference,0.6458053610755071
123,7,Window vs Reference,0.6412719386709185
123,7,Window vs Reference,0.6458452130093827
123,7,Adjacent Window Consistency,0.5550280228616956
123,7,Adjacent Window Consistency,0.6640378240590425
123,7,Adjacent Window Consistency,0.6654785316508579
123,7,Adjacent Window Consistency,0.7655393462847365
123,7,Adjacent Window Consistency,0.6457637103401286
123,7,Adjacent Window Consistency,0.7217042060139395
123,7,Adjacent Window Consistency,0.6690898013407258
123,7,Adjacent Window Consistency,0.7100729952047619
123,7,Adjacent Window Consistency,0.6159436726333251
123,7,Adjacent Window Consistency,0.7107709003871193
123,7,Adjacent Window Consistency,0.6094162873704343
123,7,Adjacent Window Consistency,0.6482815402829818
123,7,Adjacent Window Consistency,0.6699069766366648
123,8,Window vs Reference,0.6337153089520614
123,8,Window vs Reference,0.6289545918141067
123,8,Window vs Reference,0.6349084046908804
123,8,Window vs Reference,0.6380990796476154
123,8,Window vs Reference,0.6519032601134328
123,8,Window vs Reference,0.6753476756494149
123,8,Window vs Reference,0.6636138960426988
123,8,Window vs Reference,0.697465623317841
123,8,Window vs Reference,0.6913382133459659
123,8,Window vs Reference,0.6557918096716199
123,8,Window vs Reference,0.678802233317459
123,8,Window vs Reference,0.6625349490831536
123,8,Window vs Reference,0.6865442697130335
123,8,Window vs Reference,0.6521853422493987
123,8,Adjacent Window Consistency,0.6081425463295643
123,8,Adjacent Window Consistency,0.6794957113304685
123,8,Adjacent Window Consistency,0.6445600205764291
123,8,Adjacent Window Consistency,0.6302776624754131
123,8,Adjacent Window Consistency,0.6000687620255716
123,8,Adjacent Window Consistency,0.6722753614725577
123,8,Adjacent Window Consistency,0.6505100183341982
123,8,Adjacent Window Consistency,0.6988809112222208
123,8,Adjacent Window Consistency,0.6672625656884661
123,8,Adjacent Window Consistency,0.6913120785326838
123,8,Adjacent Window Consistency,0.6697764470548853
123,8,Adjacent Window Consistency,0.6489991664873876
123,8,Adjacent Window Consistency,0.7331876176850072
123,9,Window vs Reference,0.6343312759490121
123,9,Window vs Reference,0.6583984993366228
123,9,Window vs Reference,0.6659775416252968
123,9,Window vs Reference,0.6450165376796633
123,9,Window vs Reference,0.6029113561358129
123,9,Window vs Reference,0.6170712091340492
123,9,Window vs Reference,0.6485514402640322
123,9,Window vs Reference,0.6224352228669189
123,9,Window vs Reference,0.6062688272432366
123,9,Window vs Reference,0.5930458435148586
123,9,Window vs Reference,0.5961872717264682
123,9,Window vs Reference,0.5831472117495087
123,9,Window vs Reference,0.675334162228226
123,9,Window vs Reference,0.6991922216853262
123,9,Adjacent Window Consistency,0.6958905645042548
123,9,Adjacent Window Consistency,0.6622915030928124
123,9,Adjacent Window Consistency,0.6607891407086204
123,9,Adjacent Window Consistency,0.6623839063360581
123,9,Adjacent Window Consistency,0.6052627710156742
123,9,Adjacent Window Consistency,0.6690061877766894
123,9,Adjacent Window Consistency,0.69771939066662
123,9,Adjacent Window Consistency,0.6265964022880913
123,9,Adjacent Window Consistency,0.636170070578802
123,9,Adjacent Window Consistency,0.668073785191465
123,9,Adjacent Window Consistency,0.5749744357745683
123,9,Adjacent Window Consistency,0.6243765012540957
123,9,Adjacent Window Consistency,0.7093860995464156
777,0,Window vs Reference,0.6706142571201246
777,0,Window vs Reference,0.6819448677279982
777,0,Window vs Reference,0.6517947596624847
777,0,Window vs Reference,0.6917164937484952
777,0,Window vs Reference,0.6820594767426685
777,0,Window vs Reference,0.6482715863343015
777,0,Window vs Reference,0.6346379250679983
777,0,Window vs Reference,0.6160331586967028
777,0,Window vs Reference,0.6756830450579062
777,0,Window vs Reference,0.6897954601411795
777,0,Window vs Reference,0.6437812916286839
777,0,Window vs Reference,0.6006692301457225
777,0,Window vs Reference,0.5556046349497522
777,0,Window vs Reference,0.6140201057731616
777,0,Adjacent Window Consistency,0.6880688845395342
777,0,Adjacent Window Consistency,0.6211882275440135
777,0,Adjacent Window Consistency,0.6461930905382665
777,0,Adjacent Window Consistency,0.7394856765251335
777,0,Adjacent Window Consistency,0.6373400159889838
777,0,Adjacent Window Consistency,0.6472184764595408
777,0,Adjacent Window Consistency,0.6261306043805613
777,0,Adjacent Window Consistency,0.7017234839055444
777,0,Adjacent Window Consistency,0.6453399442771275
777,0,Adjacent Window Consistency,0.716423696399061
777,0,Adjacent Window Consistency,0.5493494100810973
777,0,Adjacent Window Consistency,0.5962815616592025
777,0,Adjacent Window Consistency,0.5979246315996825
777,1,Window vs Reference,0.6969983975901615
777,1,Window vs Reference,0.6721878966718619
777,1,Window vs Reference,0.6416711165016352
777,1,Window vs Reference,0.6238541861199927
777,1,Window vs Reference,0.6818893333273989
777,1,Window vs Reference,0.6884659877636616
777,1,Window vs Reference,0.630471792527138
777,1,Window vs Reference,0.664974887597234
777,1,Window vs Reference,0.6390736859221495
777,1,Window vs Reference,0.6359730562865213
777,1,Window vs Reference,0.6825836462833149
777,1,Window vs Reference,0.6869390655227482
777,1,Window vs Reference,0.6300225121760451
777,1,Window vs Reference,0.6420476550562789
777,1,Adjacent Window Consistency,0.7427612946335247
777,1,Adjacent Window Consistency,0.655119888973076
777,1,Adjacent Window Consistency,0.6128557284570235
777,1,Adjacent Window Consistency,0.700059025486169
777,1,Adjacent Window Consistency,0.6484710613829154
777,1,Adjacent Window Consistency,0.6965222746449551
777,1,Adjacent Window Consistency,0.6197051802943679
777,1,Adjacent Window Consistency,0.661496151992435
777,1,Adjacent Window Consistency,0.6824657341647026
777,1,Adjacent Window Consistency,0.682631203705294
777,1,Adjacent Window Consistency,0.6574539700997816
777,1,Adjacent Window Consistency,0.6442462668622086
777,1,Adjacent Window Consistency,0.5809612990634837
777,2,Window vs Reference,0.7064527916364784
777,2,Window vs Reference,0.6747840529309767
777,2,Window vs Reference,0.6469242328755872
777,2,Window vs Reference,0.6867256283565544
777,2,Window vs Reference,0.6938705330896645
777,2,Window vs Reference,0.6507120178877244
777,2,Window vs Reference,0.6561871616126956
777,2,Window vs Reference,0.6583922279297623
777,2,Window vs Reference,0.7007102804759997
777,2,Window vs Reference,0.6898774040756636
777,2,Window vs Reference,0.6679071399086474
777,2,Window vs Reference,0.6386163968965058
777,2,Window vs Reference,0.6251306265232455
777,2,Window vs Reference,0.6108677404676113
777,2,Adjacent Window Consistency,0.6581993342370229
777,2,Adjacent Window Consistency,0.6731763077159905
777,2,Adjacent Window Consistency,0.6740109849755326
777,2,Adjacent Window Consistency,0.7232393031839179
