subject_id,condition,seed,rho_hat_T,delta_from_full
sub-003_schaefer200,L_no_lw,9999,0.867820,0.002140
sub-003_schaefer200,L_no_boot,9999,0.923064,0.057384
sub-003_schaefer200,L_no_prior,9999,0.788268,-0.077412
sub-003_schaefer200,L_no_atten,9999,0.952159,0.086479
sub-003_schaefer200,L_full,628,0.866934,0.000000
sub-003_schaefer200,L_no_sb,628,0.719461,-0.147473
sub-003_schaefer200,L_no_lw,628,0.862792,-0.004143
sub-003_schaefer200,L_no_boot,628,0.923064,0.056130
sub-003_schaefer200,L_no_prior,628,0.772118,-0.094817
sub-003_schaefer200,L_no_atten,628,0.947468,0.080533
sub-003_schaefer200,L_full,2718,0.868212,0.000000
sub-003_schaefer200,L_no_sb,2718,0.718538,-0.149674
sub-003_schaefer200,L_no_lw,2718,0.863735,-0.004477
sub-003_schaefer200,L_no_boot,2718,0.923064,0.054852
sub-003_schaefer200,L_no_prior,2718,0.785517,-0.082695
sub-003_schaefer200,L_no_atten,2718,0.951174,0.082962
sub-003_schaefer200,L_full,1414,0.873588,0.000000
sub-003_schaefer200,L_no_sb,1414,0.706559,-0.167030
sub-003_schaefer200,L_no_lw,1414,0.863579,-0.010010
sub-003_schaefer200,L_no_boot,1414,0.923064,0.049476
sub-003_schaefer200,L_no_prior,1414,0.828964,-0.044624
sub-003_schaefer200,L_no_atten,1414,0.951300,0.077712
sub-003_schaefer200,L_full,3141,0.869170,0.000000
sub-003_schaefer200,L_no_sb,3141,0.716046,-0.153124
sub-003_schaefer200,L_no_lw,3141,0.860155,-0.009015
sub-003_schaefer200,L_no_boot,3141,0.923064,0.053894
sub-003_schaefer200,L_no_prior,3141,0.765481,-0.103689
sub-003_schaefer200,L_no_atten,3141,0.951999,0.082829
sub-004_schaefer200,L_full,42,0.880635,0.000000
sub-004_schaefer200,L_no_sb,42,0.751097,-0.129537
sub-004_schaefer200,L_no_lw,42,0.875054,-0.005580
sub-004_schaefer200,L_no_boot,42,0.933688,0.053054
sub-004_schaefer200,L_no_prior,42,0.809392,-0.071243
sub-004_schaefer200,L_no_atten,42,0.939149,0.058514
sub-004_schaefer200,L_full,123,0.883666,0.000000
sub-004_schaefer200,L_no_sb,123,0.751122,-0.132544
sub-004_schaefer200,L_no_lw,123,0.880382,-0.003283
sub-004_schaefer200,L_no_boot,123,0.933688,0.050023
sub-004_schaefer200,L_no_prior,123,0.812564,-0.071102
sub-004_schaefer200,L_no_atten,123,0.941173,0.057508
sub-004_schaefer200,L_full,777,0.877232,0.000000
sub-004_schaefer200,L_no_sb,777,0.763936,-0.113296
sub-004_schaefer200,L_no_lw,777,0.865625,-0.011607
sub-004_schaefer200,L_no_boot,777,0.933688,0.056456
sub-004_schaefer200,L_no_prior,777,0.809018,-0.068214
sub-004_schaefer200,L_no_atten,777,0.937303,0.060071
sub-004_schaefer200,L_full,314,0.872004,0.000000
sub-004_schaefer200,L_no_sb,314,0.748672,-0.123332
sub-004_schaefer200,L_no_lw,314,0.868813,-0.003190
sub-004_schaefer200,L_no_boot,314,0.933688,0.061685
sub-004_schaefer200,L_no_prior,314,0.799790,-0.072213
sub-004_schaefer200,L_no_atten,314,0.938854,0.066850
sub-004_schaefer200,L_full,9999,0.870520,0.000000
sub-004_schaefer200,L_no_sb,9999,0.754550,-0.115970
sub-004_schaefer200,L_no_lw,9999,0.868460,-0.002060
sub-004_schaefer200,L_no_boot,9999,0.933688,0.063169
sub-004_schaefer200,L_no_prior,9999,0.827594,-0.042925
sub-004_schaefer200,L_no_atten,9999,0.938149,0.067629
sub-004_schaefer200,L_full,2026,0.873204,0.000000
sub-004_schaefer200,L_no_sb,2026,0.764344,-0.108860
sub-004_schaefer200,L_no_lw,2026,0.875176,0.001972
sub-004_schaefer200,L_no_boot,2026,0.933688,0.060485
sub-004_schaefer200,L_no_prior,2026,0.816991,-0.056213
sub-004_schaefer200,L_no_atten,2026,0.933530,0.060327
sub-004_schaefer200,L_full,1414,0.883060,0.000000
sub-004_schaefer200,L_no_sb,1414,0.745615,-0.137445
sub-004_schaefer200,L_no_lw,1414,0.873271,-0.009789
sub-004_schaefer200,L_no_boot,1414,0.933688,0.050628
sub-004_schaefer200,L_no_prior,1414,0.824201,-0.058860
sub-004_schaefer200,L_no_atten,1414,0.935981,0.052921
sub-004_schaefer200,L_full,628,0.876660,0.000000
sub-004_schaefer200,L_no_sb,628,0.750176,-0.126484
sub-004_schaefer200,L_no_lw,628,0.869176,-0.007484
sub-004_schaefer200,L_no_boot,628,0.933688,0.057028
sub-004_schaefer200,L_no_prior,628,0.816331,-0.060330
sub-004_schaefer200,L_no_atten,628,0.933292,0.056631
sub-004_schaefer200,L_full,2718,0.879765,0.000000
sub-004_schaefer200,L_no_sb,2718,0.754038,-0.125727
sub-004_schaefer200,L_no_lw,2718,0.872354,-0.007411
sub-004_schaefer200,L_no_boot,2718,0.933688,0.053923
sub-004_schaefer200,L_no_prior,2718,0.801167,-0.078598
sub-004_schaefer200,L_no_atten,2718,0.938338,0.058573
sub-004_schaefer200,L_full,3141,0.873685,0.000000
sub-004_schaefer200,L_no_sb,3141,0.759928,-0.113757
sub-004_schaefer200,L_no_lw,3141,0.878360,0.004675
sub-004_schaefer200,L_no_boot,3141,0.933688,0.060003
sub-004_schaefer200,L_no_prior,3141,0.786632,-0.087053
sub-004_schaefer200,L_no_atten,3141,0.935814,0.062130
sub-005_schaefer200,L_full,42,0.865248,0.000000
sub-005_schaefer200,L_no_sb,42,0.739517,-0.125731
sub-005_schaefer200,L_no_lw,42,0.875713,0.010465
sub-005_schaefer200,L_no_boot,42,0.924317,0.059069
sub-005_schaefer200,L_no_prior,42,0.805736,-0.059512
sub-005_schaefer200,L_no_atten,42,0.932151,0.066902
sub-005_schaefer200,L_full,123,0.873942,0.000000
sub-005_schaefer200,L_no_sb,123,0.740585,-0.133356
sub-005_schaefer200,L_no_lw,123,0.875473,0.001531
sub-005_schaefer200,L_no_boot,123,0.924317,0.050375
sub-005_schaefer200,L_no_prior,123,0.818085,-0.055857
sub-005_schaefer200,L_no_atten,123,0.935427,0.061486
sub-005_schaefer200,L_full,2026,0.874969,0.000000
sub-005_schaefer200,L_no_sb,2026,0.746158,-0.128811
sub-005_schaefer200,L_no_lw,2026,0.867148,-0.007821
sub-005_schaefer200,L_no_boot,2026,0.924317,0.049348
sub-005_schaefer200,L_no_prior,2026,0.819911,-0.055058
sub-005_schaefer200,L_no_atten,2026,0.930114,0.055145
sub-005_schaefer200,L_full,314,0.871446,0.000000
sub-005_schaefer200,L_no_sb,314,0.744716,-0.126730
sub-005_schaefer200,L_no_lw,314,0.865899,-0.005547
sub-005_schaefer200,L_no_boot,314,0.924317,0.052871
sub-005_schaefer200,L_no_prior,314,0.810983,-0.060463
sub-005_schaefer200,L_no_atten,314,0.937606,0.066160
sub-005_schaefer200,L_full,777,0.873455,0.000000
sub-005_schaefer200,L_no_sb,777,0.741533,-0.131923
sub-005_schaefer200,L_no_lw,777,0.864109,-0.009346
sub-005_schaefer200,L_no_boot,777,0.924317,0.050862
sub-005_schaefer200,L_no_prior,777,0.796728,-0.076728
sub-005_schaefer200,L_no_atten,777,0.931240,0.057785
sub-005_schaefer200,L_full,9999,0.860831,0.000000
sub-005_schaefer200,L_no_sb,9999,0.737171,-0.123661
sub-005_schaefer200,L_no_lw,9999,0.857598,-0.003234
sub-005_schaefer200,L_no_boot,9999,0.924317,0.063486
sub-005_schaefer200,L_no_prior,9999,0.838013,-0.022818
sub-005_schaefer200,L_no_atten,9999,0.935138,0.074307
sub-005_schaefer200,L_full,628,0.863908,0.000000
sub-005_schaefer200,L_no_sb,628,0.742159,-0.121749
sub-005_schaefer200,L_no_lw,628,0.861783,-0.002125
sub-005_schaefer200,L_no_boot,628,0.924317,0.060409
sub-005_schaefer200,L_no_prior,628,0.806856,-0.057052
sub-005_schaefer200,L_no_atten,628,0.935917,0.072009
sub-005_schaefer200,L_full,1414,0.884075,0.000000
sub-005_schaefer200,L_no_sb,1414,0.731604,-0.152471
sub-005_schaefer200,L_no_lw,1414,0.852571,-0.031504
