subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
50034_cc200,L5,Full BS-NET,42,0.899232,0.008651
50034_cc200,L0,Raw,777,0.890582,0.000000
50034_cc200,L1,+LW,777,0.890699,0.000117
50034_cc200,L2,+Bootstrap,777,0.825818,-0.064764
50034_cc200,L3,+SB+Atten,777,0.861862,-0.028720
50034_cc200,L4,+Prior,777,0.899291,0.008709
50034_cc200,L5,Full BS-NET,777,0.900541,0.009960
50034_cc200,L0,Raw,2026,0.890582,0.000000
50034_cc200,L1,+LW,2026,0.890699,0.000117
50034_cc200,L2,+Bootstrap,2026,0.826859,-0.063722
50034_cc200,L3,+SB+Atten,2026,0.857637,-0.032945
50034_cc200,L4,+Prior,2026,0.899659,0.009077
50034_cc200,L5,Full BS-NET,2026,0.900428,0.009846
50034_cc200,L0,Raw,9999,0.890582,0.000000
50034_cc200,L1,+LW,9999,0.890699,0.000117
50034_cc200,L2,+Bootstrap,9999,0.825407,-0.065175
50034_cc200,L3,+SB+Atten,9999,0.857301,-0.033281
50034_cc200,L4,+Prior,9999,0.902735,0.012154
50034_cc200,L5,Full BS-NET,9999,0.902089,0.011507
50034_cc200,L0,Raw,314,0.890582,0.000000
50034_cc200,L1,+LW,314,0.890699,0.000117
50034_cc200,L2,+Bootstrap,314,0.824907,-0.065674
50034_cc200,L3,+SB+Atten,314,0.855291,-0.035291
50034_cc200,L4,+Prior,314,0.901027,0.010445
50034_cc200,L5,Full BS-NET,314,0.900551,0.009970
50034_cc200,L0,Raw,628,0.890582,0.000000
50034_cc200,L1,+LW,628,0.890699,0.000117
50034_cc200,L2,+Bootstrap,628,0.827784,-0.062797
50034_cc200,L3,+SB+Atten,628,0.858917,-0.031665
50034_cc200,L4,+Prior,628,0.901586,0.011004
50034_cc200,L5,Full BS-NET,628,0.896444,0.005862
50034_cc200,L0,Raw,1414,0.890582,0.000000
50034_cc200,L1,+LW,1414,0.890699,0.000117
50034_cc200,L2,+Bootstrap,1414,0.828411,-0.062170
50034_cc200,L3,+SB+Atten,1414,0.856616,-0.033966
50034_cc200,L4,+Prior,1414,0.900565,0.009983
50034_cc200,L5,Full BS-NET,1414,0.898619,0.008038
50034_cc200,L0,Raw,2718,0.890582,0.000000
50034_cc200,L1,+LW,2718,0.890699,0.000117
50034_cc200,L2,+Bootstrap,2718,0.823013,-0.067569
50034_cc200,L3,+SB+Atten,2718,0.855751,-0.034831
50034_cc200,L4,+Prior,2718,0.900232,0.009650
50034_cc200,L5,Full BS-NET,2718,0.903994,0.013412
50035_cc200,L0,Raw,42,0.927121,0.000000
50035_cc200,L1,+LW,42,0.926130,-0.000990
50035_cc200,L2,+Bootstrap,42,0.873742,-0.053379
50035_cc200,L3,+SB+Atten,42,0.894965,-0.032156
50035_cc200,L4,+Prior,42,0.920182,-0.006939
50035_cc200,L5,Full BS-NET,42,0.920523,-0.006598
50034_cc200,L0,Raw,3141,0.890582,0.000000
50034_cc200,L1,+LW,3141,0.890699,0.000117
50034_cc200,L2,+Bootstrap,3141,0.829306,-0.061276
50034_cc200,L3,+SB+Atten,3141,0.856651,-0.033931
50034_cc200,L4,+Prior,3141,0.901847,0.011265
50034_cc200,L5,Full BS-NET,3141,0.899024,0.008443
50035_cc200,L0,Raw,123,0.927121,0.000000
50035_cc200,L1,+LW,123,0.926130,-0.000990
50035_cc200,L2,+Bootstrap,123,0.868818,-0.058303
50035_cc200,L3,+SB+Atten,123,0.897427,-0.029694
50035_cc200,L4,+Prior,123,0.921088,-0.006033
