subject_id,condition,seed,rho_hat_T,delta_from_full
50033_cc200,L_no_atten,2026,0.943912,0.035920
50033_cc200,L_full,777,0.907637,0.000000
50033_cc200,L_no_sb,777,0.820971,-0.086666
50033_cc200,L_no_lw,777,0.909066,0.001430
50033_cc200,L_no_boot,777,0.947326,0.039689
50033_cc200,L_no_prior,777,0.873781,-0.033856
50033_cc200,L_no_atten,777,0.942877,0.035240
50033_cc200,L_full,314,0.907724,0.000000
50033_cc200,L_no_sb,314,0.838657,-0.069067
50033_cc200,L_no_lw,314,0.908042,0.000318
50033_cc200,L_no_boot,314,0.947326,0.039602
50033_cc200,L_no_prior,314,0.871242,-0.036482
50033_cc200,L_no_atten,314,0.943477,0.035754
50033_cc200,L_full,628,0.908768,0.000000
50033_cc200,L_no_sb,628,0.837991,-0.070776
50033_cc200,L_no_lw,628,0.907068,-0.001699
50033_cc200,L_no_boot,628,0.947326,0.038558
50033_cc200,L_no_prior,628,0.875226,-0.033541
50033_cc200,L_no_atten,628,0.945415,0.036648
50033_cc200,L_full,9999,0.900647,0.000000
50033_cc200,L_no_sb,9999,0.842040,-0.058607
50033_cc200,L_no_lw,9999,0.908149,0.007501
50033_cc200,L_no_boot,9999,0.947326,0.046679
50033_cc200,L_no_prior,9999,0.870938,-0.029709
50033_cc200,L_no_atten,9999,0.947163,0.046516
50033_cc200,L_full,1414,0.904595,0.000000
50033_cc200,L_no_sb,1414,0.837259,-0.067335
50033_cc200,L_no_lw,1414,0.904017,-0.000577
50033_cc200,L_no_boot,1414,0.947326,0.042731
50033_cc200,L_no_prior,1414,0.868923,-0.035672
50033_cc200,L_no_atten,1414,0.945104,0.040509
50033_cc200,L_full,2718,0.910235,0.000000
50033_cc200,L_no_sb,2718,0.832588,-0.077648
50033_cc200,L_no_lw,2718,0.913239,0.003003
50033_cc200,L_no_boot,2718,0.947326,0.037091
50033_cc200,L_no_prior,2718,0.865473,-0.044763
50033_cc200,L_no_atten,2718,0.942184,0.031949
50033_cc200,L_full,3141,0.911865,0.000000
50033_cc200,L_no_sb,3141,0.831360,-0.080505
50033_cc200,L_no_lw,3141,0.907288,-0.004577
50033_cc200,L_no_boot,3141,0.947326,0.035461
50033_cc200,L_no_prior,3141,0.867946,-0.043919
50033_cc200,L_no_atten,3141,0.949890,0.038025
50034_cc200,L_full,42,0.902155,0.000000
50034_cc200,L_no_sb,42,0.827368,-0.074787
50034_cc200,L_no_lw,42,0.893443,-0.008712
50034_cc200,L_no_boot,42,0.938657,0.036501
50034_cc200,L_no_prior,42,0.860006,-0.042149
50034_cc200,L_no_atten,42,0.939230,0.037075
50034_cc200,L_full,123,0.900266,0.000000
50034_cc200,L_no_sb,123,0.828579,-0.071687
50034_cc200,L_no_lw,123,0.898225,-0.002040
50034_cc200,L_no_boot,123,0.938657,0.038391
50034_cc200,L_no_prior,123,0.861832,-0.038434
50034_cc200,L_no_atten,123,0.939685,0.039419
50034_cc200,L_full,777,0.899927,0.000000
50034_cc200,L_no_sb,777,0.824282,-0.075645
50034_cc200,L_no_lw,777,0.902385,0.002458
50034_cc200,L_no_boot,777,0.938657,0.038729
50034_cc200,L_no_prior,777,0.862563,-0.037364
50034_cc200,L_no_atten,777,0.940169,0.040242
50034_cc200,L_full,9999,0.899106,0.000000
50034_cc200,L_no_sb,9999,0.826881,-0.072225
50034_cc200,L_no_lw,9999,0.898743,-0.000363
50034_cc200,L_no_boot,9999,0.938657,0.039551
50034_cc200,L_no_prior,9999,0.858015,-0.041091
50034_cc200,L_no_atten,9999,0.943012,0.043906
50034_cc200,L_full,2026,0.902295,0.000000
50034_cc200,L_no_sb,2026,0.825019,-0.077277
50034_cc200,L_no_lw,2026,0.899047,-0.003248
50034_cc200,L_no_boot,2026,0.938657,0.036361
50034_cc200,L_no_prior,2026,0.855175,-0.047120
50034_cc200,L_no_atten,2026,0.940965,0.038669
50034_cc200,L_full,314,0.901700,0.000000
50034_cc200,L_no_sb,314,0.823959,-0.077741
50034_cc200,L_no_lw,314,0.896614,-0.005086
50034_cc200,L_no_boot,314,0.938657,0.036957
50034_cc200,L_no_prior,314,0.856467,-0.045233
50034_cc200,L_no_atten,314,0.941359,0.039659
50034_cc200,L_full,628,0.902733,0.000000
50034_cc200,L_no_sb,628,0.816733,-0.086001
50034_cc200,L_no_lw,628,0.902746,0.000013
50034_cc200,L_no_boot,628,0.938657,0.035923
50034_cc200,L_no_prior,628,0.854428,-0.048306
50034_cc200,L_no_atten,628,0.940749,0.038015
50034_cc200,L_full,1414,0.898913,0.000000
50034_cc200,L_no_sb,1414,0.830610,-0.068304
50034_cc200,L_no_lw,1414,0.894221,-0.004692
50034_cc200,L_no_boot,1414,0.938657,0.039743
50034_cc200,L_no_prior,1414,0.859299,-0.039614
50034_cc200,L_no_atten,1414,0.941372,0.042459
50035_cc200,L_full,42,0.926087,0.000000
50035_cc200,L_no_sb,42,0.872116,-0.053971
50035_cc200,L_no_lw,42,0.925275,-0.000812
